,Col_Name
0,Doc_ID
1,#2016
2,#?
3,#??
4,#affirmation
5,#affirmations
6,#allahsoil
7,#altwaystoheal
8,#altwaystoheal  #healthy
9,#amazing
10,#anxiety
11,#awesome
12,#baby
13,#beach
14,#beautiful
15,#beautiful  #followme
16,#beauty
17,#bihday
18,#black
19,#blessed
20,#blog
21,#blog  #silver
22,#blog  #silver  #gold
23,#cantwait
24,#cat
25,#coffee
26,#cool
27,#cool  #home
28,#cool  #home  #fun
29,#cute
30,#cute  #me
31,#cute  #me  #beautiful
32,#dad
33,#dance
34,#day
35,#deletetweets
36,#depressed
37,#depression
38,#depression?
39,#depression?  #altwaystoheal
40,#depression?  #altwaystoheal  #healthy
41,#dog
42,#enjoy
43,#euro2016
44,#family
45,#fashion
46,#father
47,#father's
48,#fathers
49,#fathersday
50,#fitness
51,#flowers
52,#follow
53,#followme
54,#food
55,#forex
56,#free
57,#friday
58,#fridayfeeling
59,#friend
60,#friends
61,#fun
62,#funny
63,#gay
64,#girl
65,#girls
66,#gold
67,#gold  #forex
68,#good
69,#goodmorning
70,#grateful
71,#grateful  #affirmations
72,#gym
73,#hair
74,#happiness
75,#happy
76,#hate
77,#healing
78,#health
79,#healthy
80,#holiday
81,#home
82,#home  #fun
83,#horny
84,#hot
85,#i_am
86,#i_am  #positive
87,#i_am  #positive  #affirmation
88,#inspiration
89,#instagood
90,#instagood  #photooftheday
91,#instagood  #photooftheday  top.tags
92,#joy
93,#kids
94,#lawofattraction
95,#lgbt
96,#liberal
97,#liberal  #politics
98,#libtard
99,#libtard  #sjw
100,#libtard  #sjw  #liberal
101,#life
102,#lifestyle
103,#lighttherapy
104,#lighttherapy  help
105,#like
106,#live
107,#london
108,#love
109,#love  #instagood
110,#love  #instagood  #photooftheday
111,#love?
112,#me
113,#me  #beautiful
114,#me  #beautiful  #followme
115,#mindset
116,#model
117,#model  love
118,#model  love  take
119,#monday
120,#morning
121,#motivation
122,#music
123,#nature
124,#naughty
125,#nervous
126,#new
127,#nude
128,#orlando
129,#orlandoshooting
130,#pay
131,#peace
132,#people
133,#photo
134,#photography
135,#photooftheday
136,#photooftheday  top.tags
137,#photooftheday  top.tags  #tbt
138,#picoftheday
139,#politics
140,#porn
141,#positive
142,#positive  #affirmation
143,#prayfororlando
144,#proud
145,#quote
146,#quotes
147,#relax
148,#retweet
149,#rip
150,#sad
151,#saturday
152,#selfie
153,#sexy
154,#shop
155,#shop  #cool
156,#shop  #cool  #home
157,#silver
158,#silver  #gold
159,#silver  #gold  #forex
160,#sjw
161,#sjw  #liberal
162,#sjw  #liberal  #politics
163,#slut
164,#smile
165,#smiles
166,#success
167,#summer
168,#sun
169,#sunday
170,#sunshine
171,#tbt
172,#tbt  #cute
173,#tbt  #cute  #me
174,#tgif
175,#thankful
176,#thankful  #positive
177,#thankyou
178,#thursday
179,#today
180,#travel
181,#trump
182,#truth
183,#usa
184,#wedding
185,#weekend
186,#work
187,#work  #mindset
188,#young
189,&lt;3
190,(vine
191,20
192,2016
193,:)
194,:d
195,??
196,??  #love
197,??  #love  #instagood
198,???
199,????
200,?????
201,??????
202,???????
203,????????
204,?????????
205,??????????
206,???????????
207,????????????
208,???????????????
209,??????????????????
210,able
211,act
212,actually
213,adapt
214,adapt  environment.
215,adapt  environment.  need
216,almost
217,already
218,also
219,always
220,amazing
221,america
222,angry
223,angry  polar
224,angry  polar  bear
225,another
226,anyone
227,anything
228,around
229,around  city.
230,attack
231,attack  bull
232,attack  bull  game
233,away
234,awesome
235,aww
236,aww  yeah
237,aww  yeah  good
238,b
239,baby
240,back
241,bad
242,beach
243,bear
244,bear  climb
245,bear  climb  racing
246,bear  climb  racing:
247,bear  living
248,bear  living  cold
249,beautiful
250,become
251,bed
252,believe
253,best
254,better
255,big
256,bihday
257,bing
258,bing  bong
259,bing  bong  bing
260,birds
261,bit
262,black
263,body
264,bong
265,bong  bing
266,bong  bing  bong
267,book
268,booked
269,bought
270,boy
271,bring
272,buffalo
273,buffalo  simulation:
274,buffalo  simulation:  buffalo
275,buffalo  take
276,buffalo  take  vicinity
277,bull
278,bull  direct
279,bull  direct  whatever
280,bull  game
281,bull  game  really
282,bull  hill
283,bull  hill  climb:
284,bull  up:
285,bull  up:  dominate
286,business
287,buy
288,call
289,called
290,came
291,can't
292,can't  believe
293,can't  wait
294,cannot
295,cant
296,car
297,care
298,cause
299,change
300,check
301,children
302,choose
303,city
304,city.
305,climb
306,climb  racing
307,climb  racing  polar
308,climb  racing:
309,climb  racing:  angry
310,climb:
311,climb:  reach
312,climb:  reach  target
313,close
314,cold
315,cold  places
316,come
317,comes
318,coming
319,complete
320,complete  task
321,complete  task  survive.
322,conference:
323,cool
324,could
325,country
326,couple
327,crazy
328,culture-of-development
329,culture-of-development  organizations
330,culture-of-development  organizations  #work
331,cute
332,dad
333,dads
334,daily
335,damn
336,date
337,day
338,day!
339,day.
340,days
341,dead
342,dear
343,death
344,delete
345,delete  old
346,delete  old  tweets!
347,despite
348,direct
349,direct  whatever
350,direct  whatever  want
351,do.
352,dog
353,dominate
354,dominate  bull
355,dominate  bull  direct
356,done
357,dont
358,dream
359,dummy
360,early
361,easy
362,else
363,empty
364,empty  around
365,empty  around  city.
366,end
367,enjoy
368,enjoying
369,enough
370,environment.
371,environment.  need
372,environment.  need  tear
373,episode
374,even
375,ever
376,every
377,everyone
378,everything
379,excited
380,face
381,fact
382,family
383,fans
384,far
385,father
386,father's
387,father's  day
388,fathers
389,fathers  day
390,fathersday
391,favorite
392,feel
393,feel  like
394,feeling
395,feels
396,finally
397,finally  found
398,finally  found  way
399,find
400,find  useful
401,find  useful  well:
402,finding
403,finished
404,first
405,follow
406,food
407,forget
408,forward
409,found
410,found  way
411,found  way  delete
412,free
413,friday
414,friend
415,friends
416,fuck
417,fucking
418,full
419,fun
420,funny
421,game
422,game  really
423,game  really  think
424,gay
425,gbp
426,get
427,get  here:
428,get  here:  #shop
429,gets
430,getting
431,gift
432,girl
433,girls
434,give
435,go
436,god
437,goes
438,going
439,gone
440,gonna
441,good
442,good  bing
443,good  bing  bong
444,good  morning
445,gorilla
446,gorilla  simulator:
447,gorilla  simulator:  need
448,got
449,gotta
450,great
451,guess
452,gun
453,guy
454,guys
455,hair
456,happened
457,happiness
458,happy
459,happy  bihday
460,happy  father's
461,happy  father's  day
462,happy.
463,hard
464,hardcore
465,hate
466,he's
467,hea
468,head
469,head  empty
470,head  empty  around
471,hear
472,heard
473,hello
474,help
475,here:
476,here:  #shop
477,here:  #shop  #cool
478,hey
479,high
480,hill
481,hill  climb:
482,hill  climb:  reach
483,hit
484,holiday
485,home
486,homes
487,homes  do.
488,hope
489,hour
490,hours
491,house
492,ht?
493,htt?
494,i'll
495,i'm
496,i'm  #grateful
497,i'm  #grateful  #affirmations
498,i've
499,if...
500,if...  #libtard
501,if...  #libtard  #sjw
502,im
503,impoant
504,it!
505,it.
506,job
507,join
508,june
509,keep
510,kids
511,kill
512,killed
513,kind
514,know
515,last
516,later
517,latest
518,leads
519,leads  culture-of-development
520,leads  culture-of-development  organizations
521,least
522,leave
523,left
524,less
525,let
526,let's
527,libtard
528,libtard  if...
529,libtard  if...  #libtard
530,life
531,life.
532,like
533,listen
534,listen  #retweet
535,little
536,live
537,lives
538,living
539,living  cold
540,living  cold  places
541,lol
542,long
543,look
544,looking
545,looking  forward
546,looks
547,looks  like
548,lost
549,lot
550,love
551,love  take
552,love  take  time
553,loved
554,lovely
555,loving
556,made
557,make
558,makes
559,making
560,man
561,many
562,matter
563,may
564,maybe
565,me.
566,mean
567,media
568,meet
569,meeting
570,men
571,might
572,might  find
573,might  find  useful
574,might  libtard
575,might  libtard  if...
576,mind
577,mindset
578,mindset  leads
579,mindset  leads  culture-of-development
580,miss
581,missing
582,mom
583,moment
584,monday
585,money
586,month
587,months
588,morning
589,mountains.
590,movie
591,much
592,music
593,must
594,n
595,name
596,need
597,need  adapt
598,need  adapt  environment.
599,need  tear
600,need  tear  city.
601,needs
602,never
603,new
604,news
605,next
606,next  week
607,nice
608,night
609,nothing
610,now.
611,obama
612,officially
613,oh
614,old
615,old  tweets!
616,old  tweets!  might
617,omg
618,one
619,open
620,order
621,organizations
622,organizations  #work
623,organizations  #work  #mindset
624,orlando
625,others
626,pa
627,pay
628,peace
629,people
630,perfect
631,person
632,photo
633,place
634,places
635,play
636,playing
637,please
638,point
639,polar
640,polar  bear
641,polar  bear  climb
642,polar  bear  living
643,porn
644,post
645,power
646,ppl
647,prayers
648,pretty
649,proud
650,put
651,r
652,race
653,racing
654,racing  polar
655,racing  polar  bear
656,racing:
657,racing:  angry
658,racing:  angry  polar
659,racist
660,reach
661,reach  target
662,reach  target  complete
663,reached
664,read
665,reading
666,ready
667,real
668,really
669,really  think
670,really  think  head
671,remember
672,rest
673,right
674,run
675,sad
676,safe
677,said
678,saturday
679,save
680,saw
681,say
682,saying
683,says
684,school
685,season
686,see
687,seeing
688,seems
689,seen
690,send
691,set
692,sex
693,share
694,shit
695,shooting
696,show
697,side
698,simulation:
699,simulation:  buffalo
700,simulation:  buffalo  take
701,simulator:
702,simulator:  need
703,simulator:  need  adapt
704,since
705,single
706,sleep
707,smile
708,someone
709,something
710,sometimes
711,song
712,soon
713,sorry
714,special
715,sta
716,staing
717,stas
718,state
719,stay
720,still
721,stop
722,story
723,strong
724,summer
725,sun
726,sunday
727,super
728,suppo
729,sure
730,survive.
731,take
732,take  time
733,take  time  ur??!!!
734,take  vicinity
735,take  vicinity  homes
736,takes
737,taking
738,talk
739,talking
740,target
741,target  complete
742,target  complete  task
743,task
744,task  survive.
745,team
746,tear
747,tear  city.
748,tell
749,thank
750,thankful
751,thanks
752,that's
753,there's
754,they're
755,thing
756,things
757,think
758,think  head
759,think  head  empty
760,this.
761,thought
762,thoughts
763,tickets
764,till
765,time
766,time  ur??!!!
767,time  ur??!!!  ??????????????????
768,time.
769,times
770,today
771,today!
772,today's
773,today.
774,together
775,tomorrow
776,tomorrow.
777,tonight
778,top.tags
779,top.tags  #tbt
780,top.tags  #tbt  #cute
781,trip
782,true
783,truly
784,trump
785,try
786,trying
787,tv
788,tweet_x
789,tweets!
790,tweets!  might
791,tweets!  might  find
792,twitter
793,two
794,understand
795,up:
796,up:  dominate
797,up:  dominate  bull
798,update
799,ur
800,ur??!!!
801,ur??!!!  ??????????????????
802,us
803,use
804,used
805,useful
806,useful  well:
807,useful  well:  #deletetweets
808,using
809,via
810,vicinity
811,vicinity  homes
812,vicinity  homes  do.
813,victims
814,video
815,visit
816,w/
817,wait
818,wait  see
819,waiting
820,wake
821,walk
822,wanna
823,want
824,want  do.
825,wanted
826,wants
827,watch
828,watching
829,way
830,way  delete
831,way  delete  old
832,we're
833,wedding
834,week
835,weekend
836,weeks
837,welcome
838,well
839,well:
840,well:  #deletetweets
841,went
842,what's
843,whatever
844,whatever  want
845,whatever  want  do.
846,white
847,whole
848,win
849,wish
850,wishing
851,without
852,woman
853,women
854,wonderful
855,word
856,words
857,work
858,working
859,world
860,would
861,wow
862,wrong
863,x
864,yeah
865,yeah  good
866,yeah  good  bing
867,year
868,years
869,yes
870,yet
871,yo
872,you
873,you!
874,you.
875,you?
876,young
877,id
878,label
879,tweet_y
